havg	hmax	hmin	hv	savg	smax	smin	sv	vavg	vmax	vmin	vv	frame_edges_comp	frame_comp
4852033843200.0	179.0	0.0	2912.6393558403547	1942541045760.0	255.0	0.0	1516.469586484962	13227262402560.0	255.0	1.0	6744.3898498920435	890.0	1034.270824904298
4848731074560.0	179.0	0.0	2912.3196176760043	1945218600960.0	255.0	0.0	1513.9254079757798	13228484935680.0	255.0	1.0	6743.520221110958	952.0	988.4702506924775
4846925844480.0	179.0	0.0	2916.031240072855	1947518607360.0	255.0	0.0	1511.5840382973354	13228948254720.0	255.0	1.0	6745.0471607056825	1027.0	1016.3179522890664
4840386048000.0	179.0	0.0	2919.285430590111	1947259330560.0	255.0	0.0	1510.1680368282532	13228989603840.0	255.0	1.0	6747.2674862129	1068.5	1018.4047882107618
4835134341120.0	179.0	0.0	2908.227595425373	1948783779840.0	255.0	0.0	1514.7246028215834	13229084221440.0	255.0	1.0	6750.784194296159	1131.5	953.0413385826771
4842472427520.0	179.0	0.0	2943.5808544396614	1934512066560.0	255.0	0.0	1477.2198432081327	13233068851200.0	255.0	1.0	6744.332963739035	1126.75	957.2736220472441
4842904473600.0	179.0	0.0	2941.4886362557622	1935211438080.0	255.0	0.0	1490.195087277243	13231453532160.0	255.0	1.0	6751.427028996033	1116.25	971.7214566929133
4835429683200.0	179.0	0.0	2939.752008036581	1940225495040.0	255.0	0.0	1515.2680114382956	13229891911680.0	255.0	1.0	6759.164704401715	1279.5	1007.4753937007873
4835418931200.0	179.0	0.0	2940.5530121319234	1947756810240.0	255.0	0.0	1545.5915601316347	13228375818240.0	255.0	1.0	6767.67537455493	1406.5	1030.9005905511808
4835595509760.0	179.0	0.0	2952.8998492702904	1953792122880.0	255.0	0.0	1568.8209987020068	13226540298240.0	255.0	1.0	6774.592949704202	1537.0	1067.733267716535
4826341785600.0	179.0	0.0	2932.6106092841255	1972517130240.0	255.0	0.0	1620.064578484016	13220402073600.0	255.0	1.0	6790.901934101962	1578.0	1056.6013779527557
4822438748160.0	179.0	0.0	2942.19152598114	1975918448640.0	255.0	0.0	1628.944668890646	13218929418240.0	255.0	1.0	6795.348214543851	1501.25	1032.0757874015746
4834530385920.0	179.0	0.0	2968.3721458410473	1968970874880.0	255.0	0.0	1626.226815730646	13218008924160.0	255.0	1.0	6798.047947955895	1277.0	1058.6371494818088
4845679288320.0	179.0	0.0	2998.5936169239467	1960545177600.0	255.0	0.0	1618.3646484229298	13217667624960.0	255.0	1.0	6798.36672084731	1026.5	1058.7425150166507
4867242024960.0	179.0	0.0	3048.752231291877	1942595665920.0	255.0	0.0	1593.7544688480377	13217641451520.0	255.0	1.0	6799.710922670227	996.0	1039.5574756465717
4897547550720.0	179.0	0.0	3130.4438557435774	1913160499200.0	255.0	0.0	1540.200176767349	13222694768640.0	255.0	1.0	6790.494584525289	988.5	1093.2332793875073
4916789698560.0	179.0	0.0	3171.342324314456	1896060272640.0	255.0	0.0	1527.5815676713307	13223140085760.0	255.0	1.0	6790.577806453185	1076.0	1059.1082521552394
4925873295360.0	179.0	0.0	3193.835437970448	1891825520640.0	255.0	0.0	1531.2593340492565	13222890639360.0	255.0	1.0	6790.690522733806	1306.25	1094.8739184899316
4935396618240.0	179.0	0.0	3220.452286969005	1886239887360.0	255.0	0.0	1533.63338125995	13222226903040.0	255.0	1.0	6792.424522216692	1327.75	1108.5067925056799
4929981603840.0	179.0	0.0	3221.2591378364355	1889069506560.0	255.0	0.0	1543.5393258362665	13221546577920.0	255.0	1.0	6796.542630678422	1260.0	1052.4520517568703
4919157288960.0	179.0	0.0	3174.9410021572007	1908119531520.0	255.0	0.0	1605.6222900244925	13215920455680.0	255.0	1.0	6810.556304348099	1320.5	1033.9094176963056
4919500984320.0	179.0	0.0	3175.380764931181	1913304145920.0	255.0	0.0	1625.613661940575	13214927585280.0	255.0	1.0	6815.589588514223	1170.5	933.7893700787401
