havg,hmax,hmin,hv,savg,smax,smin,sv,vavg,vmax,vmin,vv,magavg,magv,angavg,angv
0.19093226154003262,0.4196078431372549,0.043137254901960784,0.19032162608117503,0.06574920700571893,0.3843137254901961,0.00392156862745098,0.02360244502424552,0.5267042994281043,1.0,0.30196078431372547,0.12148987139968322,7.5112515025668675e-06,0.001645109388563368,0.010275899153202771,0.16921411722898483
0.2157532327410131,0.6588235294117647,0.0,0.35979391229738017,0.13929280790441176,0.5843137254901961,0.0,0.06912499303665252,0.6245509237132352,1.0,0.2901960784313726,0.2707755197695193,2.2408554289076063e-05,0.0010360987345377603,0.002355575761757791,0.029378827810287476
0.23374773386437905,0.6941176470588235,0.0,0.3144783391131881,0.12949569444444445,1.0,0.0,0.25274159994847745,0.6197505647467318,1.0,0.0,0.9470120723720404,7.073118421766494e-05,0.0017165047539605034,0.0027482889918610453,0.10628190815448761
0.21363490962009804,0.6470588235294118,0.0,0.1164308183708321,0.05698635110294118,0.42745098039215684,0.0,0.013422375873786807,0.5627625439133985,1.0,0.11764705882352941,0.1855929351286027,5.870155493418375e-06,0.001565989515516493,0.0011648545786738396,0.07902521342039108
0.21574465686274513,0.7019607843137254,0.0,0.30471213846512296,0.11486581750408498,1.0,0.0,0.38229603542301765,0.5729356755514705,1.0,0.0,0.5939443622209843,3.8875010278489854e-05,0.0016542056613498264,0.001960240760818124,0.08789806604385376
0.18347382097630718,0.7019607843137254,0.0,0.2912923221499301,0.3293805295138889,1.0,0.0,1.7492371009866239,0.45269726256127457,1.0,0.0,1.7520543736481298,3.459229734208849e-05,0.0017087738037109374,0.001612277296371758,0.08552444159984589
0.2275009921364379,0.7019607843137254,0.0,0.40911402188383916,0.2070144618055556,1.0,0.0,0.43375616950327445,0.5942024361723857,1.0,0.0,1.3268745686547383,5.306924184163412e-05,0.001651414320203993,0.00233225476462394,0.11191967964172363
0.23099606872957518,0.7019607843137254,0.0,0.3118197684169231,0.12133020629084963,1.0,0.0,0.4185060439521156,0.5067486146854574,1.0,0.0,0.8162778812236368,5.041107071770562e-05,0.0015092980278862847,0.0030692176334559916,0.077667950168252
0.20544488766339866,0.4117647058823529,0.0,0.09372732427056628,0.05607711958741829,0.16470588235294117,0.0,0.006382571528135601,0.5233131173406862,1.0,0.34901960784313724,0.0854224299427855,0.00017585797839694554,0.001552719963921441,0.003916376335546375,0.08170883059501648
0.2436867871732026,0.7019607843137254,0.0,0.5117422509905846,0.1719461284722222,1.0,0.0,0.9386253265512765,0.5304282817606207,1.0,0.0,1.1173366445949016,4.363775518205431e-05,0.0016256376478407117,0.003357520806603134,0.08290132969617843
0.21859829299428105,0.6588235294117647,0.0,0.26278260849475465,0.12307269914215686,1.0,0.0,0.46935326905669866,0.47583674836601314,1.0,0.0,0.5355833148521222,5.6164073944091796e-05,0.0016563501993815104,0.0033686671499162913,0.12128648608922958
0.2114181204044118,0.6470588235294118,0.0,0.1005274160250549,0.06551212367238564,0.34901960784313724,0.0,0.015030201291017108,0.5499414828431372,1.0,0.09019607843137255,0.10810043336980354,0.00014288687176174588,0.0016874287923177083,0.0029759084444958717,0.07935707539319992
0.2031506862745098,0.6470588235294118,0.0,0.08826211589200605,0.05768246732026144,0.3176470588235294,0.0,0.012215775764571906,0.5076308578431372,1.0,0.13725490196078433,0.6043414091685425,1.2735047605302598e-05,0.0017739200168185765,0.0013177735125645994,0.0855915504693985
